conv_id,turn,speaker,clause_number,clause,emotion,expanded emotion cause evidence,expanded emotion cause span,type
tr_4466,1,A,1,"Hey , you wanna see a movie tomorrow ?",happiness,[1],"['Hey , you wanna see a movie tomorrow ?']",['no-context']
tr_4466,2,B,1,Sounds like a good plan .,happiness,[1],[],['inter-personal']
tr_4466,2,B,2,What do you want to see ?,happiness,[1],[],['inter-personal']
tr_4466,3,A,1,How about Legally Blonde .,neutral,[],[],[]
tr_4466,4,B,1,"Ah , my girlfriend wanted to see that movie .",neutral,[],[],[]
tr_4466,4,B,2,I have to take her later,neutral,[],[],[]
tr_4466,4,B,3,so I don't want to watch it ahead of time .,neutral,[],[],[]
tr_4466,4,B,4,How about The Cube ?,neutral,[],[],[]
tr_4466,5,A,1,Isn't that a scary movie ?,neutral,[],[],[]
tr_4466,6,B,1,How scary can it be ?,neutral,[],[],[]
tr_4466,6,B,2,"Come on , it'll be fun .",neutral,[],[],[]
tr_4466,7,A,1,Ok .,happiness,[6],[],['inter-personal']
tr_4466,7,A,2,I'll give it a try .,happiness,[6],[],['inter-personal']
tr_4466,8,B,1,That's the spirit .,happiness,"[6, 7]",[],['hybrid']
tr_4466,8,B,2,I'll see you tomorrow after class .,happiness,"[6, 7]",[],['hybrid']
tr_4466,9,A,1,Ok .,happiness,"[1, 6]",[],['hybrid']
tr_4466,9,A,2,See you tomorrow .,happiness,"[1, 6]",[],['hybrid']
tr_7536,1,A,1,"Ann , it's terrible !",anger,['b'],"[""Ann , it's terrible !""]",['latent']
tr_7536,2,B,1,What's up ?,neutral,[],[],[]
tr_7536,3,A,1,"Look , this is a pimple !",neutral,[],[],[]
tr_7536,4,B,1,"Oh , I think it is .",neutral,[],[],[]
tr_7536,5,A,1,How come ?,neutral,[],[],[]
tr_7536,6,B,1,I think it's because of your bad habits !,anger,[6],"[""I think it's because of your bad habits !""]",['no-context']
tr_7536,7,A,1,I have no bad habit .,neutral,[],[],[]
tr_7536,7,A,2,"I sleep eight hours a day , never eat spicy food , clean the face twice a day and so on .",neutral,[],[],[]
tr_7536,7,A,3,I have done a lot .,neutral,[],[],[]
tr_7536,8,B,1,"I know you have done a lot , but you always sleep very late .",neutral,[],[],[]
tr_7536,8,B,2,Sleeping eight hours a day doesn't mean it is healthy .,neutral,[],[],[]
tr_7536,8,B,3,"Sleeping after 12 is hurtful to our body , and I think this is your problem .",neutral,[],[],[]
tr_7536,9,A,1,I wasn't aware of that !,surprise,[8],[],['inter-personal']
tr_7536,10,B,1,You should do better later .,neutral,[],[],[]
tr_754,1,A,1,What a great weekend that was !,happiness,[1],['What a great weekend that was !'],['no-context']
tr_754,2,B,1,My feelings exactly .,happiness,[1],[],['inter-personal']
tr_754,3,A,1,I really enjoy the beach in the summer .,happiness,"[1, 3]",['I really enjoy the beach in the summer .'],"['no-context', 'self-contagion']"
tr_754,4,B,1,I couldn't agree with you more .,happiness,"[1, 1, 3]",[],['inter-personal']
tr_754,5,A,1,We should come here more often .,happiness,"[1, 3]",[],['self-contagion']
tr_754,6,B,1,You are absolutely right .,happiness,"[1, 1, 3]",[],['inter-personal']
tr_754,7,A,1,I'd like to come back next weekend .,happiness,"[1, 3]",[],['self-contagion']
tr_754,8,B,1,That's exactly the way I feel .,happiness,"[1, 3]",[],['inter-personal']
tr_4110,1,A,1,"Oh , it's getting late .",happiness,[1],[],['no-context']
tr_4110,1,A,2,I've got to run .,happiness,[1],[],['no-context']
tr_4110,1,A,3,"It was nice talking to you , karren .",happiness,[1],"['It was nice talking to you , karren .']",['no-context']
tr_4110,2,B,1,"Thanks , Tim .",happiness,"[1, 2]",[],"['no-context', 'inter-personal']"
tr_4110,2,B,2,"Nice meeting you , too .",happiness,"[1, 2]","['Nice meeting you , too .']","['no-context', 'inter-personal']"
tr_4110,3,A,1,I guess we'll see each other around .,happiness,[1],[],['self-contagion']
tr_4110,4,B,1,"Yeah , I hope so .",happiness,"[1, 2]",[],['hybrid']
tr_4110,4,B,2,"Well , take it easy .",happiness,"[1, 2]",[],['hybrid']
tr_4110,5,A,1,You too .,happiness,"[1, 4]",[],['hybrid']
tr_3432,1,A,1,Haven't seen you for a long time,happiness,['b'],[],['latent']
tr_3432,2,B,1,I've been away on a vacation .,happiness,[1],[],['inter-personal']
tr_3432,3,A,1,I bet you had a wonderful time,happiness,[2],[],['inter-personal']
tr_3432,4,B,1,"Yeah , beautiful sunshine , pleasant scenery and many new friends",happiness,"[3, 4]","['Yeah , beautiful sunshine , pleasant scenery and many new friends']","['no-context', 'inter-personal']"
tr_3432,5,A,1,Sounds great,happiness,[4],[],['inter-personal']
tr_943,1,A,1,"how was school today , Dominic ?",neutral,[],[],[]
tr_943,2,B,1,I hate school !,disgust,[2],['I hate school !'],['no-context']
tr_943,3,A,1,why ?,surprise,[2],[],['inter-personal']
tr_943,3,A,2,What happened ?,surprise,[2],[],['inter-personal']
tr_943,4,B,1,I messed up my mid-term exam so badly today !,disgust,[4],['I messed up my mid-term exam so badly today !'],['no-context']
tr_943,5,A,1,it's just one exam .,neutral,[],[],[]
tr_943,5,A,2,Can you re-take the exam ?,neutral,[],[],[]
tr_943,6,B,1,"yes , but it's so humiliating !",disgust,"[6, 6]","[""yes , but it's so humiliating !""]",['no-context']
tr_943,6,B,2,I don't want my friends to know I failed !,disgust,"[6, 6]",[],['no-context']
tr_943,7,A,1,why didn't you do a good job ?,neutral,[],[],[]
tr_943,8,B,1,I don't know .,neutral,[],[],[]
tr_943,8,B,2,"I sat down in my seat , looked at my paper , and then my mind just went totally blank .",neutral,[],[],[]
tr_943,9,A,1,do you think you studied enough for the exam ?,neutral,[],[],[]
tr_943,10,B,1,no ...,neutral,[],[],[]
tr_943,11,A,1,what did you do last night ?,neutral,[],[],[]
tr_943,12,B,1,I watched TV .,neutral,[],[],[]
tr_943,13,A,1,did you study at all last night for your exam ?,neutral,[],[],[]
tr_943,14,B,1,"no , not really .",neutral,[],[],[]
tr_943,15,A,1,"I am sure if you had studied , you would have done well .",neutral,[],[],[]
tr_943,15,A,2,When can you re-take your exam ?,neutral,[],[],[]
tr_943,16,B,1,tomorrow .,neutral,[],[],[]
tr_943,17,A,1,alright .,neutral,[],[],[]
tr_943,17,A,2,Get out your books and I'll help you prepare .,neutral,[],[],[]
tr_3894,1,A,1,My goodness !,surprise,[1],[],['no-context']
tr_3894,1,A,2,She is thirty seconds faster than the world record in 5000 metres race .,surprise,[1],['She is thirty seconds faster than the world record in 5000 metres race .'],['no-context']
tr_3894,2,B,1,"Excuse me , what did you say ?",surprise,[1],[],['inter-personal']
tr_3894,3,A,1,A Chinese girl has broken the world record in the Olympic Games .,happiness,[3],['A Chinese girl has broken the world record in the Olympic Games .'],['no-context']
tr_3894,4,B,1,That's incredible .,surprise,"[1, 3, 4]",[],"['no-context', 'inter-personal']"
tr_3894,4,B,2,I can't believe it .,surprise,"[1, 3, 4]","[""I can't believe it .""]","['no-context', 'inter-personal']"
tr_3894,5,A,1,You have to .,happiness,[3],[],['self-contagion']
tr_3894,5,A,2,It is sure .,happiness,[3],[],['self-contagion']
tr_3894,6,B,1,How amazing !,surprise,"[1, 3, 4, 5]",[],['hybrid']
tr_1561,1,A,1,You look like a basket case .,neutral,[],[],[]
tr_1561,2,B,1,I'm not surprised .,neutral,[],[],[]
tr_1561,3,A,1,What's the problem ?,neutral,[],[],[]
tr_1561,4,B,1,My brother in-law just dropped in from the states .,disgust,[4],['My brother in-law just dropped in from the states .'],['no-context']
tr_1561,5,A,1,"Yeah , and ?",neutral,[],[],[]
tr_1561,6,B,1,"I decided to put him up while he's here , big mistake !",disgust,"[4, 6]","[""I decided to put him up while he's here , big mistake !""]","['no-context', 'self-contagion']"
tr_1561,7,A,1,Why ?,neutral,[],[],[]
tr_1561,8,B,1,He's lazy .,disgust,"[4, 6, 8]",[],"['no-context', 'self-contagion']"
tr_1561,8,B,2,"I tried being a good host , but if you give him an inch , he'll take a mile .",disgust,"[4, 6, 8]","[""I tried being a good host , but if you give him an inch , he'll take a mile .""]","['no-context', 'self-contagion']"
tr_1561,9,A,1,I guess you think twice next time he comes .,neutral,[],[],[]
tr_1561,10,B,1,You can say that again .,neutral,[],[],[]
tr_1561,11,A,1,So how long has he here for ?,neutral,[],[],[]
tr_1561,12,B,1,Two weeks .,neutral,[],[],[]
tr_1561,12,B,2,If he thinks I'll put up with his attitude that long he's got another thing coming .,neutral,[],[],[]
tr_1561,13,A,1,"Well , I know you do the right thing .",neutral,[],[],[]
tr_4533,1,A,1,What are you doing ?,neutral,[],[],[]
tr_4533,2,B,1,What am I doing ?,neutral,[],[],[]
tr_4533,2,B,2,What am I doing ?,neutral,[],[],[]
tr_4533,2,B,3,Don ' t you know what day it is ?,neutral,[],[],[]
tr_4533,3,A,1,Mumm .,neutral,[],[],[]
tr_4533,3,A,2,no .,neutral,[],[],[]
tr_4533,4,B,1,It ' s only the day when the world ' s biggest sporting event is kicking off .,neutral,[],[],[]
tr_4533,5,A,1,What ?,neutral,[],[],[]
tr_4533,6,B,1,The World Cup !,happiness,[6],[],['no-context']
tr_4533,6,B,2,The first match is today !,happiness,[6],[],['no-context']
tr_4533,6,B,3,It ' s Mexico vs .,happiness,[6],[],['no-context']
tr_4533,6,B,4,South Africa !,happiness,[6],[],['no-context']
tr_4533,6,B,5,It ' s going to be a really good match !,happiness,[6],"[""It ' s going to be a really good match !""]",['no-context']
tr_4533,6,B,6,Both teams have a very strong offense and have skilled players .,happiness,[6],[],['no-context']
tr_4533,6,B,7,I think that South Africa,happiness,[6],[],['no-context']
tr_4533,7,A,1,I have no idea what you ' re talking about .,surprise,"[6, 7]",[],"['no-context', 'inter-personal']"
tr_4533,7,A,2,The only sporting event we watch at home is the Super Bowl .,surprise,"[6, 7]",['The only sporting event we watch at home is the Super Bowl .'],"['no-context', 'inter-personal']"
tr_4533,8,B,1,"This is bigger than the Super Bowl , man !",neutral,[],[],[]
tr_4533,8,B,2,Teams from 32 countries compete against each other every four years and fight to win that trophy .,neutral,[],[],[]
tr_4533,8,B,3,"They first start in a group stage with bigger groups , each g",neutral,[],[],[]
tr_4533,9,A,1,"Sounds interesting , but soccer doesn ' t really appeal to me .",neutral,[],[],[]
tr_4533,10,B,1,Are you kidding ?,surprise,[9],[],['inter-personal']
tr_4533,10,B,2,Over seven hundred million people watched the final match of the World Cup !,surprise,[9],[],['inter-personal']
tr_4533,10,B,3,It ' s a very exciting and nerve wracking sport !,surprise,[9],[],['inter-personal']
tr_4533,10,B,4,"Each nation is cheering on their team , hoping they will bec",surprise,[9],[],['inter-personal']
tr_4533,11,A,1,"All I know about soccer is that you can ' t use your hands and that players are always falling down , trying to get a free kick or penalty kick .",disgust,"[10, 11]",[],"['no-context', 'inter-personal']"
tr_4533,11,A,2,It seems like a sissy sport to me !,disgust,"[10, 11]",['It seems like a sissy sport to me !'],"['no-context', 'inter-personal']"
tr_4533,12,B,1,"Whatever , I ' m going to go watch the opening match .",neutral,[],[],[]
tr_5297,1,A,1,do you remember where you were for the terrorist attacks on 9-11 ?,neutral,[],[],[]
tr_5297,2,B,1,"yes , I was in my apartment in Beijing .",neutral,[],[],[]
tr_5297,2,B,2,Where were you ?,neutral,[],[],[]
tr_5297,3,A,1,I was at home with my parents in New York City .,neutral,[],[],[]
tr_5297,4,B,1,really ?,neutral,[],[],[]
tr_5297,4,B,2,Did you see the hijacked planes crash into and destroy the twin towers ?,neutral,[],[],[]
tr_5297,5,A,1,"I didn't see the crash itself , but I did see the smoke and everything afterwards from my parents ' apartment building .",neutral,[],[],[]
tr_5297,6,B,1,that must have been horrible .,neutral,[],[],[]
tr_5297,6,B,2,Did you go out at all that day to see what was going on ?,neutral,[],[],[]
tr_5297,7,A,1,"no , we decided to stay in our apartment .",neutral,[],[],[]
tr_5297,7,A,2,"With all the buses out of service and the underground trains at a halt , many people had no choice but to walk home .",neutral,[],[],[]
tr_5297,7,A,3,It was utter chaos .,neutral,[],[],[]
tr_5297,8,B,1,did you know anyone who worked in the World Trade Center ?,neutral,[],[],[]
tr_5297,9,A,1,"yes , my uncle's firm had an office in one of the towers .",neutral,[],[],[]
tr_5297,10,B,1,did he survive ?,neutral,[],[],[]
tr_5297,11,A,1,"unfortunately , he wasn't able to evacuate in time .",sadness,[11],[],['no-context']
tr_5297,11,A,2,He ended up dying in the tower .,sadness,[11],[],['no-context']
tr_5297,12,B,1,I'm sorry .,sadness,"[11, 12]",[],"['no-context', 'inter-personal']"
tr_5297,12,B,2,That must have really been a nightmarish day for you and your family .,sadness,"[11, 12]",['That must have really been a nightmarish day for you and your family .'],"['no-context', 'inter-personal']"
tr_5297,13,A,1,it was .,anger,[13],[],['no-context']
tr_5297,13,A,2,The hijackers didn't have any respect for human life not even their own .,anger,[13],"[""The hijackers didn't have any respect for human life not even their own .""]",['no-context']
tr_5297,14,B,1,terrorist acts are deliberate and deadly and can affect every walk of life .,neutral,[],[],[]
tr_19,1,B,1,Can I help you ?,neutral,[],[],[]
tr_19,2,A,1,I hope so .,neutral,[],[],[]
tr_19,2,A,2,"I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look .",neutral,[],[],[]
tr_19,3,B,1,I'll certainly try to help you .,neutral,[],[],[]
tr_19,3,B,2,What topic is your paper on ?,neutral,[],[],[]
tr_19,4,A,1,My paper is on the influence of television on children .,neutral,[],[],[]
tr_19,5,B,1,There are several possible sources you might use for that topic .,neutral,[],[],[]
tr_19,5,B,2,I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television .,neutral,[],[],[]
tr_19,6,A,1,Thank you for you help .,happiness,[5],[],['inter-personal']
tr_4248,1,A,1,Have you seen that house ?,happiness,['b'],[],['latent']
tr_4248,2,B,1,"Yes , it looks interesting .",happiness,[2],"['Yes , it looks interesting .']",['no-context']
tr_4248,3,A,1,You're right .,happiness,"[2, 3]",[],"['no-context', 'inter-personal']"
tr_4248,3,A,2,I love it very much .,happiness,"[2, 3]",['I love it very much .'],"['no-context', 'inter-personal']"
tr_4248,4,B,1,It must be old .,neutral,[],[],[]
tr_4248,5,A,1,At least more than 100 years old .,neutral,[],[],[]
tr_4248,6,B,1,Let's enter it !,neutral,[],[],[]
tr_4248,7,A,1,I can't open the door .,neutral,[],[],[]
tr_4248,8,B,1,It must be locked .,neutral,[],[],[]
tr_4248,9,A,1,Let me ask the old woman in that reception office .,neutral,[],[],[]
tr_4248,10,B,1,She can't answer you .,neutral,[],[],[]
tr_4248,11,A,1,She must be deaf .,neutral,[],[],[]
tr_4248,12,B,1,It must be a haunted house .,neutral,[],[],[]
tr_4248,12,B,2,Are you frightened ?,neutral,[],[],[]
tr_4248,13,A,1,Frightened ?,surprise,[12],[],['inter-personal']
tr_4248,13,A,2,You must be joking .,surprise,[12],[],['inter-personal']
tr_2317,1,A,1,Where are you going this weekend ?,neutral,[],[],[]
tr_2317,2,B,1,I have no idea .,neutral,[],[],[]
tr_2317,2,B,2,Maybe I will sleep for the whole day .,neutral,[],[],[]
tr_2317,3,A,1,So boring !,happiness,[3],[],['no-context']
tr_2317,3,A,2,Shall we go out for a picnic with my friends ?,happiness,[3],['Shall we go out for a picnic with my friends ?'],['no-context']
tr_2317,4,B,1,Sounds interesting .,happiness,"[3, 4]",['Sounds interesting .'],"['no-context', 'inter-personal']"
tr_2317,4,B,2,Who are the other people ?,happiness,"[3, 4]",[],"['no-context', 'inter-personal']"
tr_2317,5,A,1,"Fred and David , my college class mates and Rachel .",happiness,[4],[],['inter-personal']
tr_2317,6,B,1,Gorgeous !,happiness,"[3, 4, 5]",[],['hybrid']
tr_2317,6,B,2,What should I bring on that day ?,happiness,"[3, 4, 5]",[],['hybrid']
tr_2317,7,A,1,Your tent and enough food and water .,happiness,"[3, 4, 5, 6]",[],['hybrid']
tr_2317,8,B,1,"You mean , we can do many other things after the picnic , right ?",happiness,"[3, 4, 5, 7, 8]","['You mean , we can do many other things after the picnic , right ?']","['no-context', 'hybrid']"
tr_2317,9,A,1,"We can go fishing , chatting and camping .",happiness,"[3, 4, 5, 7, 8, 9]","['We can go fishing , chatting and camping .']","['no-context', 'hybrid']"
tr_2317,10,B,1,What are we waiting for ?,happiness,"[3, 4, 5, 7, 8, 9]",[],['hybrid']
tr_2317,10,B,2,Come on !,happiness,"[3, 4, 5, 7, 8, 9]",[],['hybrid']
tr_2317,11,A,1,Don't hurry .,happiness,"[3, 4, 5, 7, 8, 9, 10]",[],['hybrid']
tr_2317,11,A,2,Wait for my call .,happiness,"[3, 4, 5, 7, 8, 9, 10]",[],['hybrid']
tr_1452,1,A,1,"It's a fine day today , isn't it ?",happiness,[1],"[""It's a fine day today , isn't it ?""]",['no-context']
tr_1452,2,B,1,"Yes , it is .",happiness,"[1, 2]",[],"['no-context', 'inter-personal']"
tr_1452,2,B,2,It ' s wonderful after the downpour .,happiness,"[1, 2]","[""It ' s wonderful after the downpour .""]","['no-context', 'inter-personal']"
tr_1452,3,A,1,How nice seeing the sun back again !,happiness,"[1, 3]",[],"['no-context', 'self-contagion']"
tr_1452,3,A,2,The air is so fresh .,happiness,"[1, 3]",[],"['no-context', 'self-contagion']"
tr_1452,4,B,1,I hope it stays nice like this for a long period of time .,neutral,[],[],[]
tr_1452,5,A,1,"Well , the weather is so unpredictable this time of year .",neutral,[],[],[]
tr_1452,6,B,1,You're right .,neutral,[],[],[]
tr_1452,6,B,2,We don't know what is going to be like tomorrow .,neutral,[],[],[]
tr_1452,7,A,1,Look !,surprise,[7],[],['no-context']
tr_1452,7,A,2,It looks as if it is going to rain .,surprise,[7],['It looks as if it is going to rain .'],['no-context']
tr_1452,8,B,1,The weatherman predicts a fine day today .,neutral,[],[],[]
